# Scenario Table for Solar and Wind Generation
param: GEN:   Gen_busNumber Gen_id  Gen_isInSvc  Gen_pgInit Gen_pgMax Gen_pgMin Gen_energyRamp Gen_spinRamp Gen_costCurveFlag pg_init :=
8 'SOLAR_GEN' 10  1  5.07  50.0   0.0  1.0  5.5  1  5.07
9 'WIND_GEN' 3   1  66.73  70.0   0.0  2.0  10.0 1  66.73
8 'SOLAR_GEN' 10  1  22.99  50.0   0.0  1.0  5.5  1  22.99
9 'WIND_GEN' 3   1  42.93  70.0   0.0  2.0  10.0 1  42.93
8 'SOLAR_GEN' 10  1  43.11  50.0   0.0  1.0  5.5  1  43.11
9 'WIND_GEN' 3   1  18.45  70.0   0.0  2.0  10.0 1  18.45
8 'SOLAR_GEN' 10  1  39.41  50.0   0.0  1.0  5.5  1  39.41
9 'WIND_GEN' 3   1  19.65  70.0   0.0  2.0  10.0 1  19.65
8 'SOLAR_GEN' 10  1  27.30  50.0   0.0  1.0  5.5  1  27.30
9 'WIND_GEN' 3   1  20.95  70.0   0.0  2.0  10.0 1  20.95
8 'SOLAR_GEN' 10  1  1.69  50.0   0.0  1.0  5.5  1  1.69
9 'WIND_GEN' 3   1  42.63  70.0   0.0  2.0  10.0 1  42.63
8 'SOLAR_GEN' 10  1  41.55  50.0   0.0  1.0  5.5  1  41.55
9 'WIND_GEN' 3   1  23.94  70.0   0.0  2.0  10.0 1  23.94
8 'SOLAR_GEN' 10  1  38.26  50.0   0.0  1.0  5.5  1  38.26
9 'WIND_GEN' 3   1  17.71  70.0   0.0  2.0  10.0 1  17.71
8 'SOLAR_GEN' 10  1  28.98  50.0   0.0  1.0  5.5  1  28.98
9 'WIND_GEN' 3   1  24.48  70.0   0.0  2.0  10.0 1  24.48
8 'SOLAR_GEN' 10  1  3.18  50.0   0.0  1.0  5.5  1  3.18
9 'WIND_GEN' 3   1  52.66  70.0   0.0  2.0  10.0 1  52.66
8 'SOLAR_GEN' 10  1  1.46  50.0   0.0  1.0  5.5  1  1.46
9 'WIND_GEN' 3   1  65.33  70.0   0.0  2.0  10.0 1  65.33
8 'SOLAR_GEN' 10  1  34.73  50.0   0.0  1.0  5.5  1  34.73
9 'WIND_GEN' 3   1  0.66  70.0   0.0  2.0  10.0 1  0.66
8 'SOLAR_GEN' 10  1  28.08  50.0   0.0  1.0  5.5  1  28.08
9 'WIND_GEN' 3   1  34.71  70.0   0.0  2.0  10.0 1  34.71
8 'SOLAR_GEN' 10  1  22.18  50.0   0.0  1.0  5.5  1  22.18
9 'WIND_GEN' 3   1  3.23  70.0   0.0  2.0  10.0 1  3.23
8 'SOLAR_GEN' 10  1  36.79  50.0   0.0  1.0  5.5  1  36.79
9 'WIND_GEN' 3   1  18.71  70.0   0.0  2.0  10.0 1  18.71
